SRR11784031	SRR11784026	SRR11784028	SRR11784030	SRR11784027	SRR11784029	SRR11784032
9650	52	173	252	71	179	317	55
2235	3	4	14	10	28	21	33
8653	1	0	0	0	0	0	0
5214	20	35	40	33	32	44	35
3422	2	10	6	12	2	11	13
6672	4	17	20	70	39	37	15
1316	4	14	26	36	23	32	48
8611	43	111	98	63	108	112	50
4756	7	43	32	51	32	35	16
23471	3	21	8	16	21	13	12
5255	0	0	0	3	7	2	6
7132	8	18	19	42	23	15	16
782	3	4	4	8	7	4	6
7813	0	7	8	47	16	13	9
9399	1	3	0	0	5	0	1
5315	28	54	40	101	93	47	113
54505	12	31	14	28	23	14	17
30836	8	4	20	31	9	15	9
7158	160	363	264	255	222	266	167
7216	11	21	20	13	14	26	14
51018	2	0	12	5	8	3	3
387	33	54	20	37	40	26	26
1659	13	26	16	22	12	15	11
55699	3	7	4	22	24	15	11
6857	144	276	383	168	281	403	53
89795	0	0	15	1	2	1	0
3421	8	9	8	11	12	20	17
79641	5	15	11	21	8	5	14
492	3	0	2	1	2	0	6
865	6	7	5	11	7	5	8
5165	6	11	19	40	14	19	10
8692	2	7	11	15	11	9	24
9759	7	14	17	34	17	13	40
11186	3	9	3	4	18	13	19
2261	24	43	59	127	63	66	82
3430	6	10	3	5	10	4	10
63897	0	3	0	13	6	5	2
80347	9	15	14	21	14	8	20
79990	5	27	14	48	17	12	24
4205	33	71	76	65	74	64	36
7030	3	9	4	43	8	16	14
2182	1	22	21	19	15	8	17
3632	4	9	10	14	5	3	106
27238	2	1	5	7	8	4	13
24140	2	12	1	3	8	6	9
65055	2	9	0	4	18	8	5
23250	13	64	69	100	75	70	92
9741	4	10	13	24	17	13	12
55133	1	2	4	5	2	7	8
3796	94	213	95	117	154	136	40
10235	2	2	3	13	12	3	13
23198	4	14	19	40	20	14	23
22933	2	5	4	22	13	6	16
5526	0	1	8	20	9	8	15
5837	0	10	6	2	3	1	1
8712	0	0	0	0	0	0	0
5307	7	23	2	2	6	2	9
57113	31	129	172	71	96	138	19
375449	10	41	56	146	56	56	92
221395	25	46	52	102	49	64	41
54549	0	2	0	7	21	1	7
8756	17	19	23	29	14	28	3
55746	1	3	6	11	13	2	0
64710	14	53	70	128	87	99	54
10294	6	9	17	12	7	9	13
602	4	5	3	11	6	7	18
8514	19	33	25	47	18	24	51
10060	46	192	220	101	155	305	60
51083	0	0	0	0	0	0	0
29121	7	6	9	21	4	8	3
4129	2	16	20	24	29	29	19
6095	148	253	277	234	220	278	124
1815	6	21	12	25	4	5	36
7049	1	15	10	41	25	22	31
8399	3	11	4	4	7	13	2
54626	0	1	0	3	0	5	9
483	26	42	41	39	37	27	16
4734	4	5	9	5	10	4	8
9488	222	372	304	223	278	307	88
5597	1	6	5	21	7	11	5
10681	13	13	31	28	24	38	24
